1;182.8707352;184.7739869;183.8223611
2;167.3715356;170.9969205;169.184228
3;153.3472797;158.5309153;155.9390975
4;140.6576083;147.2512074;143.9544078
5;129.1755187;137.0449056;133.1102122
6;118.7860945;127.8098618;123.2979781
7;109.3853547;119.4536486;114.4195016
8;100.8792135;111.8926343;106.3859239
9;93.18253875;105.0511456;99.11684216
10;86.21829941;98.86071059;92.539505
11;79.91679507;93.25937339;86.58808423
12;74.21495814;88.19107391;81.20301603
13;69.05572275;83.60508689;76.33040482
14;64.38745351;79.45551423;71.92148387
15;60.16342883;75.70082562;67.93212723
16;56.34137324;72.30344288;64.32240806
17;52.88303433;69.22936385;61.05619909
18;49.75379988;66.44782212;58.100811
19;46.92235146;63.93097908;55.42666527
20;44.36035098;61.65364532;53.00699815
